Entity,Code,Year,temperature_anomaly
April,,1940,-0.6047783
April,,1941,-0.806757
April,,1942,-0.80339336
April,,1943,-0.772172
April,,1944,-0.6304369
April,,1945,-0.66435623
April,,1946,-0.6236839
April,,1947,-0.5139208
April,,1948,-0.7420702
April,,1949,-0.73305225
April,,1950,-0.836648
April,,1951,-0.71882915
April,,1952,-0.7059593
April,,1953,-0.50220203
April,,1954,-0.77287674
April,,1955,-0.84453773
April,,1956,-0.8796396
April,,1957,-0.66009617
April,,1958,-0.53918743
April,,1959,-0.46754837
April,,1960,-0.7444658
April,,1961,-0.5174122
April,,1962,-0.59061337
April,,1963,-0.7342434
April,,1964,-0.87139225
April,,1965,-0.8030367
April,,1966,-0.69640446
April,,1967,-0.65558624
April,,1968,-0.6871834
April,,1969,-0.4611292
April,,1970,-0.4808731
April,,1971,-0.7092209
April,,1972,-0.61412716
April,,1973,-0.41615963
April,,1974,-0.7592621
April,,1975,-0.6411934
April,,1976,-0.8217974
April,,1977,-0.50898075
April,,1978,-0.5516424
April,,1979,-0.5085182
April,,1980,-0.18407059
April,,1981,-0.21317005
April,,1982,-0.537735
April,,1983,-0.2767191
April,,1984,-0.46905327
April,,1985,-0.47266388
April,,1986,-0.2999115
April,,1987,-0.33420658
April,,1988,-0.18895054
April,,1989,-0.3149414
April,,1990,-0.052470207
April,,1991,-0.12276268
April,,1992,-0.4195671
April,,1993,-0.32597828
April,,1994,-0.28054428
April,,1995,-0.11935139
April,,1996,-0.3444929
April,,1997,-0.3279724
April,,1998,0.12081814
April,,1999,-0.30352116
April,,2000,-0.08273029
April,,2001,-0.15341854
April,,2002,-0.063630104
April,,2003,-0.12009716
April,,2004,-0.014400482
April,,2005,0.07043171
April,,2006,-0.069927216
April,,2007,0.17370224
April,,2008,-0.126688
April,,2009,-0.060088158
April,,2010,0.25240517
April,,2011,0.0136089325
April,,2012,0.054305077
April,,2013,-0.036406517
April,,2014,0.10949421
April,,2015,0.056487083
April,,2016,0.5295439
April,,2017,0.32820606
April,,2018,0.3051052
April,,2019,0.43720055
April,,2020,0.52027035
April,,2021,0.19053555
April,,2022,0.2832718
April,,2023,0.3205328
April,,2024,0.67018795
April,,2025,0.6011734
August,,1940,-0.49912357
August,,1941,-0.47484016
August,,1942,-0.748476
August,,1943,-0.77656364
August,,1944,-0.4685545
August,,1945,-0.33533478
August,,1946,-0.66981125
August,,1947,-0.66395664
August,,1948,-0.5704956
August,,1949,-0.66612244
August,,1950,-0.8166046
August,,1951,-0.48820114
August,,1952,-0.6869316
August,,1953,-0.52975655
August,,1954,-0.80227757
August,,1955,-0.5998764
August,,1956,-0.88370514
August,,1957,-0.5275841
August,,1958,-0.57756615
August,,1959,-0.59372425
August,,1960,-0.53197956
August,,1961,-0.54902935
August,,1962,-0.60115623
August,,1963,-0.3528309
August,,1964,-0.6946621
August,,1965,-0.6724491
August,,1966,-0.5796337
August,,1967,-0.57115364
August,,1968,-0.652915
August,,1969,-0.6583824
August,,1970,-0.68392754
August,,1971,-0.7044306
August,,1972,-0.45670414
August,,1973,-0.6240673
August,,1974,-0.62120056
August,,1975,-0.83821774
August,,1976,-0.75347805
August,,1977,-0.4668398
August,,1978,-0.72218895
August,,1979,-0.40953922
August,,1980,-0.28450108
August,,1981,-0.23632145
August,,1982,-0.45393944
August,,1983,-0.2498312
August,,1984,-0.4386263
August,,1985,-0.39429283
August,,1986,-0.4373436
August,,1987,-0.27093315
August,,1988,-0.1666317
August,,1989,-0.32171345
August,,1990,-0.16622066
August,,1991,-0.13983059
August,,1992,-0.48837852
August,,1993,-0.38467598
August,,1994,-0.38456535
August,,1995,-0.10714722
August,,1996,-0.1117897
August,,1997,-0.13426113
August,,1998,0.1411953
August,,1999,-0.23782349
August,,2000,-0.1753006
August,,2001,-0.051208496
August,,2002,-0.04685974
August,,2003,0.04565239
August,,2004,-0.1618433
August,,2005,0.02933693
August,,2006,0.07070732
August,,2007,-0.019002914
August,,2008,-0.07928467
August,,2009,0.04493332
August,,2010,0.045850754
August,,2011,0.11047745
August,,2012,0.07608986
August,,2013,0.054332733
August,,2014,0.13554573
August,,2015,0.24180412
August,,2016,0.4007702
August,,2017,0.295475
August,,2018,0.20798874
August,,2019,0.35555267
August,,2020,0.26625633
August,,2021,0.31062126
August,,2022,0.2952137
August,,2023,0.7090626
August,,2024,0.7105751
August,,2025,0.48949814
December,,1940,-0.5999098
December,,1941,-0.691267
December,,1942,-0.8196411
December,,1943,-0.61020374
December,,1944,-0.7618904
December,,1945,-0.8674841
December,,1946,-0.8403959
December,,1947,-0.81565
December,,1948,-0.8968191
December,,1949,-0.67066765
December,,1950,-0.66224575
December,,1951,-0.4643774
December,,1952,-0.70207596
December,,1953,-0.59537506
December,,1954,-0.81268215
December,,1955,-0.9461689
December,,1956,-0.7470541
December,,1957,-0.45921516
December,,1958,-0.60860443
December,,1959,-0.5907726
December,,1960,-0.4344082
December,,1961,-0.72038174
December,,1962,-0.6208401
December,,1963,-0.57758045
December,,1964,-0.91444206
December,,1965,-0.6589174
December,,1966,-0.656888
December,,1967,-0.6144438
December,,1968,-0.7389593
December,,1969,-0.35144806
December,,1970,-0.6979914
December,,1971,-0.68609047
December,,1972,-0.4383936
December,,1973,-0.60564995
December,,1974,-0.7628269
December,,1975,-0.82321167
December,,1976,-0.66656303
December,,1977,-0.5416212
December,,1978,-0.5147362
December,,1979,-0.13220978
December,,1980,-0.47253227
December,,1981,-0.23479462
December,,1982,-0.23315144
December,,1983,-0.42403316
December,,1984,-0.60335827
December,,1985,-0.54594517
December,,1986,-0.44721985
December,,1987,-0.12601185
December,,1988,-0.36968327
December,,1989,-0.2399559
December,,1990,-0.14960194
December,,1991,-0.33700752
December,,1992,-0.46335506
December,,1993,-0.35290337
December,,1994,-0.27205563
December,,1995,-0.3405285
December,,1996,-0.24599075
